,Unnamed: 0,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Class
0,0,2008,1,3,4,2003.0,1955,2211.0,2225,WN,335,N712SW,128.0,150.0,116.0,-14.0,8.0,IAD,TPA,810,4.0,8.0,0,N,0,,,,,,0
1,1,2008,1,3,4,754.0,735,1002.0,1000,WN,3231,N772SW,128.0,145.0,113.0,2.0,19.0,IAD,TPA,810,5.0,10.0,0,N,0,,,,,,0
2,2,2008,1,3,4,628.0,620,804.0,750,WN,448,N428WN,96.0,90.0,76.0,14.0,8.0,IND,BWI,515,3.0,17.0,0,N,0,,,,,,0
3,4,2008,1,3,4,1829.0,1755,1959.0,1925,WN,3920,N464WN,90.0,90.0,77.0,34.0,34.0,IND,BWI,515,3.0,10.0,0,N,0,2.0,0.0,0.0,0.0,32.0,0
4,5,2008,1,3,4,1940.0,1915,2121.0,2110,WN,378,N726SW,101.0,115.0,87.0,11.0,25.0,IND,JAX,688,4.0,10.0,0,N,0,,,,,,0
5,6,2008,1,3,4,1937.0,1830,2037.0,1940,WN,509,N763SW,240.0,250.0,230.0,57.0,67.0,IND,LAS,1591,3.0,7.0,0,N,0,10.0,0.0,0.0,0.0,47.0,0
6,10,2008,1,3,4,706.0,700,916.0,915,WN,100,N690SW,130.0,135.0,106.0,1.0,6.0,IND,MCO,828,5.0,19.0,0,N,0,,,,,,0
7,11,2008,1,3,4,1644.0,1510,1845.0,1725,WN,1333,N334SW,121.0,135.0,107.0,80.0,94.0,IND,MCO,828,6.0,8.0,0,N,0,8.0,0.0,0.0,0.0,72.0,0
8,15,2008,1,3,4,1029.0,1020,1021.0,1010,WN,2272,N263WN,52.0,50.0,37.0,11.0,9.0,IND,MDW,162,6.0,9.0,0,N,0,,,,,,0
9,16,2008,1,3,4,1452.0,1425,1640.0,1625,WN,675,N286WN,228.0,240.0,213.0,15.0,27.0,IND,PHX,1489,7.0,8.0,0,N,0,3.0,0.0,0.0,0.0,12.0,0
10,17,2008,1,3,4,754.0,745,940.0,955,WN,1144,N778SW,226.0,250.0,205.0,-15.0,9.0,IND,PHX,1489,5.0,16.0,0,N,0,,,,,,0
11,18,2008,1,3,4,1323.0,1255,1526.0,1510,WN,4,N674AA,123.0,135.0,110.0,16.0,28.0,IND,TPA,838,4.0,9.0,0,N,0,0.0,0.0,0.0,0.0,16.0,0
12,19,2008,1,3,4,1416.0,1325,1512.0,1435,WN,54,N643SW,56.0,70.0,49.0,37.0,51.0,ISP,BWI,220,2.0,5.0,0,N,0,12.0,0.0,0.0,0.0,25.0,0
13,21,2008,1,3,4,1657.0,1625,1754.0,1735,WN,623,N724SW,57.0,70.0,47.0,19.0,32.0,ISP,BWI,220,5.0,5.0,0,N,0,7.0,0.0,0.0,0.0,12.0,0
14,22,2008,1,3,4,1900.0,1840,1956.0,1950,WN,717,N786SW,56.0,70.0,49.0,6.0,20.0,ISP,BWI,220,2.0,5.0,0,N,0,,,,,,0
15,23,2008,1,3,4,1039.0,1030,1133.0,1140,WN,1244,N714CB,54.0,70.0,47.0,-7.0,9.0,ISP,BWI,220,2.0,5.0,0,N,0,,,,,,0
16,25,2008,1,3,4,1520.0,1455,1619.0,1605,WN,2553,N394SW,59.0,70.0,50.0,14.0,25.0,ISP,BWI,220,2.0,7.0,0,N,0,,,,,,0
17,26,2008,1,3,4,1422.0,1255,1657.0,1610,WN,188,N215WN,155.0,195.0,143.0,47.0,87.0,ISP,FLL,1093,6.0,6.0,0,N,0,40.0,0.0,0.0,0.0,7.0,0
18,27,2008,1,3,4,1954.0,1925,2239.0,2235,WN,1754,N243WN,165.0,190.0,155.0,4.0,29.0,ISP,FLL,1093,3.0,7.0,0,N,0,,,,,,0
19,30,2008,1,3,4,2107.0,1945,2334.0,2230,WN,362,N798SW,147.0,165.0,134.0,64.0,82.0,ISP,MCO,972,6.0,7.0,0,N,0,5.0,0.0,0.0,0.0,59.0,0
20,33,2008,1,3,4,1312.0,1300,1546.0,1550,WN,1397,N247WN,154.0,170.0,140.0,-4.0,12.0,ISP,MCO,972,7.0,7.0,0,N,0,,,,,,0
21,34,2008,1,3,4,1449.0,1430,1715.0,1720,WN,3398,N707SA,146.0,170.0,134.0,-5.0,19.0,ISP,MCO,972,6.0,6.0,0,N,0,,,,,,0
22,35,2008,1,3,4,1634.0,1555,1859.0,1845,WN,3480,N443WN,145.0,170.0,134.0,14.0,39.0,ISP,MCO,972,5.0,6.0,0,N,0,,,,,,0
23,37,2008,1,3,4,1812.0,1650,1927.0,1815,WN,422,N779SW,135.0,145.0,118.0,72.0,82.0,ISP,MDW,765,6.0,11.0,0,N,0,3.0,0.0,0.0,0.0,69.0,0
24,38,2008,1,3,4,1127.0,1105,1235.0,1230,WN,1837,N704SW,128.0,145.0,114.0,5.0,22.0,ISP,MDW,765,9.0,5.0,0,N,0,,,,,,0
25,39,2008,1,3,4,1424.0,1355,1531.0,1520,WN,2871,N709SW,127.0,145.0,113.0,11.0,29.0,ISP,MDW,765,8.0,6.0,0,N,0,,,,,,0
26,40,2008,1,3,4,1326.0,1230,1559.0,1530,WN,1056,N459WN,153.0,180.0,143.0,29.0,56.0,ISP,PBI,1052,5.0,5.0,0,N,0,0.0,0.0,0.0,0.0,29.0,0
27,41,2008,1,3,4,1749.0,1725,2019.0,2030,WN,2175,N621SW,150.0,185.0,138.0,-11.0,24.0,ISP,PBI,1052,4.0,8.0,0,N,0,,,,,,0
28,42,2008,1,3,4,726.0,720,958.0,1020,WN,3319,N206WN,152.0,180.0,140.0,-22.0,6.0,ISP,PBI,1052,4.0,8.0,0,N,0,,,,,,0
29,43,2008,1,3,4,646.0,640,929.0,955,WN,3667,N280WN,163.0,195.0,151.0,-26.0,6.0,ISP,RSW,1101,3.0,9.0,0,N,0,,,,,,0
30,44,2008,1,3,4,1153.0,1140,1428.0,1440,WN,2006,N241WN,155.0,180.0,143.0,-12.0,13.0,ISP,TPA,1034,4.0,8.0,0,N,0,,,,,,0
31,45,2008,1,3,4,1528.0,1510,1802.0,1810,WN,3858,N200WN,154.0,180.0,144.0,-8.0,18.0,ISP,TPA,1034,4.0,6.0,0,N,0,,,,,,0
32,48,2008,1,3,4,1450.0,1435,1806.0,1745,WN,3244,N475WN,136.0,130.0,121.0,21.0,15.0,JAN,BWI,888,7.0,8.0,0,N,0,0.0,0.0,6.0,0.0,15.0,0
33,49,2008,1,3,4,2245.0,1730,2354.0,1850,WN,186,N792SW,69.0,80.0,59.0,304.0,315.0,JAN,HOU,359,3.0,7.0,0,N,0,282.0,0.0,0.0,0.0,22.0,0
34,52,2008,1,3,4,2025.0,1940,2135.0,2100,WN,3154,N252WN,70.0,80.0,60.0,35.0,45.0,JAN,HOU,359,3.0,7.0,0,N,0,26.0,0.0,0.0,0.0,9.0,0
