,Month,DayofMonth,DayOfWeek,CRSDepTime,UniqueCarrier,Class
0,1,3,4,1955,WN,1
1,1,3,4,735,WN,1
2,1,3,4,620,WN,1
4,1,3,4,1755,WN,1
5,1,3,4,1915,WN,0
6,1,3,4,1830,WN,1
10,1,3,4,700,WN,1
11,1,3,4,1510,WN,0
15,1,3,4,1020,WN,1
16,1,3,4,1425,WN,1
17,1,3,4,745,WN,0
18,1,3,4,1255,WN,1
19,1,3,4,1325,WN,0
21,1,3,4,1625,WN,1
22,1,3,4,1840,WN,1
23,1,3,4,1030,WN,0
25,1,3,4,1455,WN,1
26,1,3,4,1255,WN,0
27,1,3,4,1925,WN,1
30,1,3,4,1945,WN,1
33,1,3,4,1300,WN,0
34,1,3,4,1430,WN,0
35,1,3,4,1555,WN,0
37,1,3,4,1650,WN,0
38,1,3,4,1105,WN,0
39,1,3,4,1355,WN,0
40,1,3,4,1230,WN,1
41,1,3,4,1725,WN,1
42,1,3,4,720,WN,0
43,1,3,4,640,WN,1
44,1,3,4,1140,WN,0
45,1,3,4,1510,WN,1
48,1,3,4,1435,WN,1
49,1,3,4,1730,WN,0
52,1,3,4,1940,WN,1
53,1,3,4,945,WN,0
54,1,3,4,1850,WN,0
56,1,3,4,925,WN,0
57,1,3,4,620,WN,1
58,1,3,4,1040,WN,0
64,1,3,4,2130,WN,0
69,1,3,4,1730,WN,1
70,1,3,4,1735,WN,1
71,1,3,4,750,WN,0
74,1,3,4,1650,WN,0
75,1,3,4,700,WN,1
76,1,3,4,1310,WN,0
77,1,3,4,900,WN,1
78,1,3,4,1850,WN,1
79,1,3,4,1445,WN,0
81,1,3,4,2125,WN,0
82,1,3,4,1230,WN,1
84,1,3,4,1600,WN,0
86,1,3,4,1655,WN,1
87,1,3,4,1155,WN,0
88,1,3,4,1240,WN,0
89,1,3,4,2015,WN,1
90,1,3,4,850,WN,1
91,1,3,4,1640,WN,0
94,1,3,4,1240,WN,0
95,1,3,4,1440,WN,0
96,1,3,4,1930,WN,0
98,1,3,4,1535,WN,0
99,1,3,4,1715,WN,0
101,1,3,4,2015,WN,0
102,1,3,4,1740,WN,0
104,1,3,4,2055,WN,0
105,1,3,4,1910,WN,0
106,1,3,4,1355,WN,1
107,1,3,4,1050,WN,0
108,1,3,4,1250,WN,0
109,1,3,4,1630,WN,0
111,1,3,4,1220,WN,0
113,1,3,4,845,WN,1
114,1,3,4,1730,WN,0
116,1,3,4,945,WN,0
117,1,3,4,1740,WN,1
118,1,3,4,1200,WN,1
120,1,3,4,1030,WN,0
121,1,3,4,2115,WN,0
122,1,3,4,1315,WN,0
123,1,3,4,1955,WN,1
124,1,3,4,1425,WN,0
125,1,3,4,1600,WN,1
126,1,3,4,1710,WN,0
127,1,3,4,1040,WN,0
128,1,3,4,1050,WN,0
129,1,3,4,1620,WN,0
130,1,3,4,1735,WN,0
131,1,3,4,1140,WN,1
132,1,3,4,740,WN,1
133,1,3,4,2010,WN,0
134,1,3,4,1525,WN,1
135,1,3,4,1820,WN,0
